"Název","Barvy"
"Pulse","#2563EB #0F172A #F8FAFC #14B8A6 #F59E0B"
"Frost","#E0F2FE #7DD3FC #0EA5E9 #082F49 #F8FAFC"
"Ember","#7C2D12 #EA580C #FDBA74 #FFF7ED #1C1917"
"Moss","#3F6212 #84CC16 #D9F99D #F7FEE7 #14532D"
"Velvet","#581C87 #A855F7 #E9D5FF #FAF5FF #1F1135"
"Coral","#FF6B6B #FFD6D6 #FFF5F5 #4ECDC4 #1A535C"
"Graphite","#111827 #374151 #9CA3AF #F3F4F6 #FFFFFF"
"Sand","#C2A878 #EADBC8 #FAF7F0 #6B7280 #2F2F2F"
"Neon","#0B0F1A #00E5FF #7C3AED #FF2D95 #F5F5F5"
"Sage","#5F7161 #D0C9C0 #EFEAD8 #6D8B74 #1F2937"
